NAME,CITY,STATE,ZIP,ZIP_PLUS4,COUNTY_CODE,COUNTY_NAME,MSA,MARKET_SEGMENT,SIMPLIFIED_MENU,MENU_TYPE,UNITS,EMPLOYEES,ANNUAL_SALES,AVERAGE_CHECK,FOOD_BEVERAGE_PURCHASE,FOOD_PURCHASE,BEVERAGE_PURCHASE,TOTAL_CATEGORY_DRY,TOTAL_CATEGORY_FRESH,TOTAL_CATEGORY_FROZEN,TOTAL_CATEGORY_PROTEIN,"% Share of F&B Purchases from Company",Percentage_Range
APPLEBEE'S,POTTSTOWN,PA,19464,0,42091,MONTGOMERY,6162,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING","CLASSIC & VARIED MENU","VARIED MENU","501+ UNITS","OVER 50","$1,000,001 - $2,500,000","$10 TO $15",597290.100988154,545006.687015314,52283.4139728402,73292.5868650679,96286.33960705,124412.626443224,212623.779075412,0.5786810296385185,">50% & <70%"
"STANS RESTAURANT","SAN LEANDRO",CA,94577,3236,6001,ALAMEDA,7362,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING","CLASSIC & VARIED MENU","VARIED MENU","INDEPENDENT (1-9 UNITS)","1 TO 4","<=$500,000","$15 TO $20",39742.9391736492,36264.0659462583,3478.87322739093,4876.79741693152,6406.77307714533,8278.26116151401,14147.721357989,0.33934770171142514,<50%
"THANH THANH",OAKLAND,CA,94606,2978,6001,ALAMEDA,7362,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING","CLASSIC & VARIED MENU","VARIED MENU","INDEPENDENT (1-9 UNITS)","1 TO 4","<=$500,000","$15 TO $20",39742.9391736492,36264.0659462583,3478.87322739093,4876.79741693152,6406.77307714533,8278.26116151401,14147.721357989,0.6464089380590251,">50% & <70%"
"DOMINO'S PIZZA",WENDELL,NC,27591,6904,37183,WAKE,6640,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS","PIZZA, PASTA & ITALIAN",PIZZERIA,"501+ UNITS","20 TO 49","$500,001 - $1,000,000","$7 TO $10",282606.1407,231329.707645695,51276.4330543048,49474.0979733099,27035.0262149235,58876.2793125,53078.7681352997,0.7970199312576538,">70% & <90%"
"NINNA RESTAURANT",OAKLAND,CA,94611,5221,6001,ALAMEDA,7362,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING","OTHER ASIAN","ASIAN UNCLASSIFIED","INDEPENDENT (1-9 UNITS)","1 TO 4","<=$500,000","$15 TO $20",42645.3702611297,40042.7628697894,2602.60739134029,6395.82156662074,8260.44954642787,5938.27433147018,15827.1984460146,0.6550826511335107,">50% & <70%"
"BROOKLYN DISCOUNT DELI",BERKELEY,CA,94704,1919,6001,ALAMEDA,7362,"LSR - QUICK CASUAL","SANDWICHES, SOUPS AND SALADS, DELI, SUBS & HOT DOG",DELI,"INDEPENDENT (1-9 UNITS)","1 TO 4","<=$500,000","$7 TO $10",46966.77,41868.1118344871,5098.6581655129,5571.57718376337,6591.30881686595,9054.42870358716,16690.1003524229,0.7805049308763156,">70% & <90%"
"BOJANGLES' FAMOUS CHICKEN 'N BISCUITS",RALEIGH,NC,27604,1502,37183,WAKE,6640,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS",CHICKEN,"FRIED CHICKEN","501+ UNITS","OVER 50","$1,000,001 - $2,500,000","$5 TO $7",564695.5338,467485.441404215,97210.0923957846,93793.2174433844,51253.1242860024,111617.915111739,129556.508611839,0.13504383926268249,<50%
STARBUCKS,"SAN RAFAEL",CA,94901,5045,6041,MARIN,7362,"LSR - COFFEE SHOPS, TEA HOUSES",BEVERAGES,"COFFEE / TEA","501+ UNITS","10 TO 19","$500,001 - $1,000,000","UNDER $5",194680.1052,136081.3935348,58598.7116652,52563.628404,25113.7335708,23361.612624,0,0.980679958822204,>90%
"GOLDEN CORRAL",TRACY,CA,95304,9453,6077,"SAN JOAQUIN",NULL,"LSR - BUFFET RESTAURANTS","CLASSIC & VARIED MENU","VARIED MENU","251-500 UNITS","OVER 50","$2,500,001 - $5,000,000","$7 TO $10",959519.537748179,857683.509877211,101836.027870968,152174.330072841,139903.765044745,178261.358085328,295652.984141519,0.7789215048219296,">70% & <90%"
"THE STEAM DONKEY RESTAURANT",PINECREST,CA,95364,216,6109,TUOLUMNE,NULL,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING","CLASSIC & VARIED MENU","VARIED MENU","INDEPENDENT (1-9 UNITS)","5 TO 9","<=$500,000","$15 TO $20",113584.013152268,103641.507876336,9942.50527593181,13937.7266368102,18310.3467581624,23658.9981566021,40433.7223721468,0.41422917401208925,<50%
